qseqid	sseqid	genus	prevalence
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241950_k141_151934|provirus_17871_61194_1	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241895_k141_310074	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241742_k141_120827	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7457770_k141_192960|provirus_3_26760	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323170_k141_31258	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241898_k141_377681	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	SRR6323532_k141_152963	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	LH1_399_k141_28894	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241952_k141_232072	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO3_k141_24187	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323108_k141_120119|provirus_3_36526	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323299_k141_3024	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241950_k141_151934|provirus_17871_61194_1	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241895_k141_310074	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241863_k141_311987	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	SRR6323532_k141_152963	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	LH1_399_k141_28894	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241952_k141_232072	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO3_k141_24187	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323108_k141_120119|provirus_3_36526	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323299_k141_3024	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241950_k141_151934|provirus_17871_61194_1	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241895_k141_310074	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241863_k141_311987	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	SRR6323532_k141_152963	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	LH1_399_k141_28894	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241952_k141_232072	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO3_k141_24187	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323108_k141_120119|provirus_3_36526	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323299_k141_3024	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323299_k141_3024	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323108_k141_120119|provirus_3_36526	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO3_k141_24187	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241952_k141_232072	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	LH1_399_k141_28894	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241851_k141_591275	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR6323532_k141_152963	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.18	ERR2241863_k141_311987	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	SRR7683045_k141_85813|provirus_41235_72512	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241895_k141_310074	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.18	ERR2241697_k141_295843	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.55	ERR2241906_k141_168472	g_Ligilactobacillus	NA
Annotated_MAGs.concoct.55	ERR2241906_k141_168472	g_Ligilactobacillus	NA
Annotated_MAGs.concoct.56	SRR7683039_k141_693251	Unknown	NA
Annotated_MAGs.concoct.56	UHO253_k141_24852|provirus_15220_63259	Unknown	NA
Annotated_MAGs.concoct.56	SRR7685247_k141_309452	Unknown	NA
Annotated_MAGs.concoct.56	ERR2241980_k141_913619	Unknown	NA
Annotated_MAGs.concoct.56	SRR4096732_k119_440717|provirus_30480_75458	Unknown	NA
Annotated_MAGs.concoct.56	SRR4096732_k119_440717|provirus_30480_75458	Unknown	NA
Annotated_MAGs.concoct.56	SRR7457782_k141_2119892	Unknown	NA
Annotated_MAGs.concoct.56	SRR7457782_k141_2119892	Unknown	NA
Annotated_MAGs.concoct.56	SRR7457735_k141_681659|provirus_38085_65108	Unknown	NA
Annotated_MAGs.concoct.56	SRR4096748_k119_537524|provirus_136_50110	Unknown	NA
Annotated_MAGs.concoct.56	LH1_443_k141_102338	Unknown	NA
Annotated_MAGs.concoct.56	SRR7457782_k141_2119892	Unknown	NA
Annotated_MAGs.concoct.56	SRR7457782_k141_2119892	Unknown	NA
Annotated_MAGs.concoct.56	SRR7685272_k141_606701	Unknown	NA
Annotated_MAGs.concoct.56	ERR2241739_k141_115342	Unknown	NA
Annotated_MAGs.concoct.56	ERR2241887_k141_197458	Unknown	NA
Annotated_MAGs.concoct.56	ERR2241739_k141_115342	Unknown	NA
Annotated_MAGs.concoct.56	SRR7457776_k141_808686	Unknown	NA
Annotated_MAGs.concoct.56	ERR2241739_k141_115342	Unknown	NA
Annotated_MAGs.concoct.56	SRR7457749_k141_678949	Unknown	NA
Annotated_MAGs.concoct.58	ERR2241690_k141_179959	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	UHO322_k141_40962	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	UHO134_k141_62356	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	ERR2241900_k141_268936	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	SRR7683037_k141_699091	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	UHO408_k141_29886	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	UHO65_k141_32686	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	SRR7683035_k141_196885	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	UHO157_k141_73370	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	SRR6323561_k141_65037	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	SRR7683066_k141_82836	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	SRR7683066_k141_82836	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	ERR2241863_k141_991787	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	ERR2241866_k141_366820	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	ERR2241979_k141_95799	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	ERR2241979_k141_95799	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	SRR7683045_k141_21736	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	SRR7683045_k141_21736	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	ERR2241979_k141_95799	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	ERR2241979_k141_95799	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	SRR6323299_k141_71588|provirus_17111_74957	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	ERR2241866_k141_366820	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	ERR2241863_k141_991787	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.58	SRR7683045_k141_21736	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.107	ERR2241762_k141_113198	g_Bifidobacterium	NA
Annotated_MAGs.concoct.107	SRR6323198_k141_7340|provirus_342420_380051	g_Bifidobacterium	NA
Annotated_MAGs.concoct.107	SRR6323198_k141_7340|provirus_342420_380051	g_Bifidobacterium	NA
Annotated_MAGs.concoct.107	ERR2241762_k141_113198	g_Bifidobacterium	NA
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	ERR2241858_k141_305101	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241738_k141_115929|provirus_14764_54447	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO258_k141_44584	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	ERR2241738_k141_115929|provirus_14764_54447	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7457744_k141_621922	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241972_k141_299965	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7685251_k141_42835|provirus_4628_47464	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7685251_k141_42835|provirus_4628_47464	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	LH1_585_k141_116563	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7685263_k141_77546	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241858_k141_305101	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	ERR2241863_k141_991787	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241858_k141_305101	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241858_k141_305101	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241863_k141_991787	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241858_k141_305101	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7685263_k141_77546	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	LH1_585_k141_116563	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO150_k141_23394	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241858_k141_305101	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241863_k141_991787	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO399_k141_11641|provirus_37905_76511	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7685251_k141_42835|provirus_4628_47464	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241972_k141_299965	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO150_k141_23394	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7685246_k141_101181|provirus_3_41940	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241858_k141_305101	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO40_k141_2080	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241739_k141_459692	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241953_k141_259041	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7685251_k141_42835|provirus_4628_47464	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241972_k141_299965	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7457744_k141_621922	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241738_k141_115929|provirus_14764_54447	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO128_k141_41182	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241738_k141_115929|provirus_14764_54447	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241858_k141_305101	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	ERR2241858_k141_305101	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241863_k141_991787	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241858_k141_305101	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7685263_k141_77546	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	LH1_585_k141_116563	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO150_k141_23394	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241858_k141_305101	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241863_k141_991787	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO399_k141_11641|provirus_37905_76511	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7685251_k141_42835|provirus_4628_47464	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	ERR2241972_k141_299965	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO398_k141_44545	g_Limosilactobacillus	Prevalent in LSL
Annotated_MAGs.concoct.108	UHO157_k141_826	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	UHO150_k141_23394	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.108	SRR7685246_k141_101181|provirus_3_41940	g_Limosilactobacillus	NA
Annotated_MAGs.concoct.117	SRR7685243_k141_330549	g_Lactococcus	NA
Annotated_MAGs.concoct.117	LH1_543_k141_153790|provirus_139698_179586	g_Lactococcus	NA
Annotated_MAGs.concoct.117	SRR7685243_k141_330549	g_Lactococcus	NA
Annotated_MAGs.concoct.117	UHO299_k141_68935|provirus_206393_244466	g_Lactococcus	NA
Annotated_MAGs.concoct.117	SRR7685243_k141_540440	g_Lactococcus	NA
